date,kind,name,nav,ytd_return_pct,daily_change_pct
2026-04-20,fund,领航1号,1.0668,6.6800,0.4000
2026-04-20,fund,锐进1号,1.0121,1.2100,-0.3200
2026-04-21,fund,瑞享1号,1.0792,0.6700,0.0050
2026-04-21,fund,瑞享3号,0.7404,-9.6200,4.9500
2026-04-21,fund,配置1号,1.0863,1.6900,-0.1400
2026-04-21,fund,瑞臻1号,1.4571,-6.0400,5.4000
2026-04-21,fund,鑫盛1号,1.1704,14.8000,-0.1100
2026-04-21,fund,领航1号,1.0673,6.7300,0.0500
2026-04-21,fund,锐进1号,1.0108,1.0800,-0.1300
2026-04-22,fund,瑞享1号,1.0793,0.6800,0.0050
2026-04-22,fund,瑞享3号,0.7513,-8.3000,1.4700
2026-04-22,fund,配置1号,1.0915,2.1800,0.4800
2026-04-22,fund,瑞臻1号,1.4461,-6.7300,-0.7500
2026-04-22,fund,鑫盛1号,1.1765,15.4000,0.5200
2026-04-22,fund,领航1号,1.0822,8.2200,1.4000
2026-04-22,fund,锐进1号,1.0139,1.3900,0.3100
2026-04-23,fund,瑞享1号,1.0793,0.6800,0.0050
2026-04-23,fund,瑞享3号,0.7218,-11.8900,-3.9200
2026-04-23,fund,配置1号,1.0844,1.5100,-0.6500
2026-04-23,fund,瑞臻1号,1.4173,-8.5800,-1.9900
2026-04-23,fund,鑫盛1号,1.1689,14.6500,-0.6500
2026-04-23,fund,领航1号,1.0609,6.0900,-1.9700
2026-04-23,fund,锐进1号,1.0081,0.8000,-0.5700
2026-04-24,fund,瑞享1号,1.0794,0.6900,0.0050
2026-04-24,fund,瑞享3号,0.7021,-14.2900,-2.7300
2026-04-24,fund,配置1号,1.0865,1.7100,0.1900
2026-04-24,fund,瑞臻1号,1.4026,-9.5300,-1.0400
2026-04-24,fund,鑫盛1号,1.1711,14.8600,0.1900
2026-04-24,fund,领航1号,1.0638,6.3800,0.2700
2026-04-24,fund,锐进1号,1.0103,1.0300,0.2200
2026-04-27,fund,瑞享1号,1.0795,0.7000,0.0050
2026-04-27,fund,瑞享3号,0.6941,-15.2700,-1.1300
2026-04-27,fund,配置1号,1.0883,1.8800,0.1800
2026-04-27,fund,瑞臻1号,1.3850,-10.6700,-1.2500
2026-04-27,fund,鑫盛1号,1.1730,15.0600,0.1700
2026-04-27,fund,领航1号,1.0714,7.1400,0.7200
2026-04-27,fund,锐进1号,1.0121,1.2000,0.1800
2026-04-28,fund,瑞享1号,1.0796,0.7100,0.0040
2026-04-28,fund,瑞享3号,0.6944,-15.2300,0.0400
2026-04-28,fund,配置1号,1.0894,1.9800,0.1000
2026-04-28,fund,瑞臻1号,1.3759,-11.2600,-0.6600
2026-04-28,fund,鑫盛1号,1.1749,15.2400,0.1600
2026-04-28,fund,领航1号,1.0638,6.3800,-0.7100
2026-04-28,fund,锐进1号,1.0142,1.4200,0.2100
2026-04-29,fund,瑞享1号,1.0796,0.7100,0.0050
2026-04-29,fund,瑞享3号,0.6775,-17.3000,-2.4400
2026-04-29,fund,配置1号,1.1011,3.0700,1.0700
2026-04-29,fund,瑞臻1号,1.3666,-11.8600,-0.6800
2026-04-29,fund,鑫盛1号,1.1877,16.4900,1.0900
2026-04-29,fund,领航1号,1.0964,9.6400,3.0600
2026-04-29,fund,锐进1号,1.0223,2.2300,0.8000
2026-04-30,fund,瑞享1号,1.0797,0.7200,0.0050
2026-04-30,fund,瑞享3号,0.7011,-14.4100,3.4900
2026-04-30,fund,配置1号,1.1028,3.2300,0.1600
2026-04-30,fund,瑞臻1号,1.3741,-11.3700,0.5500
2026-04-30,fund,鑫盛1号,1.1899,16.7100,0.1900
2026-04-30,fund,领航1号,1.0972,9.7100,0.0700
2026-04-30,fund,锐进1号,1.0243,2.4300,0.2000
2026-05-06,fund,锐进1号,1.0276,2.7600,0.3400
2026-05-06,fund,瑞享1号,1.0800,0.7500,0.0050
2026-05-06,fund,瑞享3号,0.7101,-13.3300,1.2900
2026-05-06,fund,配置1号,1.1096,3.8800,0.6400
2026-05-06,fund,瑞臻1号,1.3750,-11.3100,0.0900
2026-05-06,fund,鑫盛1号,1.1994,17.6400,0.8000
2026-05-06,fund,领航1号,1.1419,14.1900,4.1000
2026-05-07,fund,锐进1号,1.0267,2.6700,-0.0900
2026-05-07,fund,瑞享1号,1.0800,0.7500,0.0050
2026-05-07,fund,瑞享3号,0.7261,-11.3600,2.2600
2026-05-07,fund,配置1号,1.1099,3.9000,0.0300
2026-05-07,fund,瑞臻1号,1.3673,-11.8100,-0.5600
2026-05-07,fund,鑫盛1号,1.2004,17.7400,0.0800
2026-05-07,fund,领航1号,1.1576,15.7600,1.3700
2026-05-08,fund,锐进1号,1.0218,2.1800,-0.4800
2026-05-08,fund,瑞享1号,1.0801,0.7600,0.0040
2026-05-08,fund,瑞享3号,0.7307,-10.8100,0.6300
2026-05-08,fund,配置1号,1.1045,3.3900,-0.4900
2026-05-08,fund,瑞臻1号,1.3976,-9.8600,2.2200
2026-05-08,fund,鑫盛1号,1.1941,17.1200,-0.5200
2026-05-08,fund,领航1号,1.1465,14.6500,-0.9600
2026-05-11,fund,锐进1号,1.0323,3.2300,1.0300
2026-05-11,fund,瑞享1号,1.0802,0.7700,0.0050
2026-05-11,fund,瑞享3号,0.7172,-12.4600,-1.8500
2026-05-11,fund,配置1号,1.1177,4.6300,1.2000
2026-05-11,fund,瑞臻1号,1.4010,-9.6400,0.2500
2026-05-11,fund,鑫盛1号,1.2085,18.5300,1.2000
2026-05-11,fund,领航1号,1.1765,17.6500,2.6300
2026-05-12,fund,锐进1号,1.0335,3.3400,0.1200
2026-05-12,fund,瑞享1号,1.0803,0.7700,0.0050
2026-05-12,fund,瑞享3号,0.7144,-12.7900,-0.3800
2026-05-12,fund,配置1号,1.1181,4.6700,0.0400
2026-05-12,fund,瑞臻1号,1.3693,-11.6800,-2.2600
2026-05-12,fund,鑫盛1号,1.2098,18.6700,0.1100
2026-05-12,fund,领航1号,1.1697,16.9700,-0.5800
2026-05-13,fund,锐进1号,1.0421,4.2100,0.8300
2026-05-13,fund,瑞享1号,1.0803,0.7800,0.0050
2026-05-13,fund,瑞享3号,0.7150,-12.7200,0.0800
2026-05-13,fund,配置1号,1.1292,5.7000,0.9900
2026-05-13,fund,瑞臻1号,1.3709,-11.5800,0.1200
2026-05-13,fund,鑫盛1号,1.2221,19.8700,1.0200
2026-05-13,fund,领航1号,1.1915,19.1500,1.8600
2026-05-14,fund,锐进1号,1.0300,3.0000,-1.1600
2026-05-14,fund,瑞享1号,1.0804,0.7800,0.0050
2026-05-14,fund,瑞享3号,0.6882,-15.9900,-3.7500
2026-05-14,fund,配置1号,1.1144,4.3200,-1.3100
2026-05-14,fund,瑞臻1号,1.3202,-14.8500,-3.7000
2026-05-14,fund,鑫盛1号,1.2044,18.1300,-1.4500
2026-05-14,fund,领航1号,1.1558,15.5800,-3.0000
2026-05-15,fund,锐进1号,1.0231,2.3100,-0.6700
2026-05-15,fund,瑞享1号,1.0804,0.7900,0.0050
2026-05-15,fund,瑞享3号,0.6720,-17.9700,-2.3600
2026-05-15,fund,配置1号,1.1043,3.3700,-0.9100
2026-05-15,fund,瑞臻1号,1.2846,-17.1400,-2.7000
2026-05-15,fund,鑫盛1号,1.1940,17.1100,-0.8600
2026-05-15,fund,领航1号,1.1322,13.2200,-2.0400
2026-05-18,fund,锐进1号,1.0243,2.4300,0.1300
2026-05-18,fund,瑞享1号,1.0806,0.8000,0.0050
2026-05-18,fund,瑞享3号,0.6570,-19.8000,-2.2300
2026-05-18,fund,配置1号,1.1050,3.4400,0.0700
2026-05-18,fund,瑞臻1号,1.2717,-17.9800,-1.0000
2026-05-18,fund,鑫盛1号,1.1944,17.1500,0.0300
2026-05-18,fund,领航1号,1.1332,13.3200,0.1000
2026-05-19,fund,锐进1号,1.0255,2.5500,0.1200
2026-05-19,fund,瑞享1号,1.0806,0.8100,0.0050
2026-05-19,fund,瑞享3号,0.6942,-15.2600,5.6700
2026-05-19,fund,配置1号,1.1062,3.5600,0.1100
2026-05-19,fund,瑞臻1号,1.2937,-16.5600,1.7300
